grupo,abbr,indicador,columna_apendice,valor,corregida_reverificacion
ecuador,UTC,marco_normativo,LOPDP,no,no
ecuador,UTC,derechos,Rights,no,no
ecuador,UTC,contacto_dpo,DPO,no,no
ecuador,UTC,declaracion_accesibilidad,Acc.,no,no
ecuador,UTC,transparencia_lotaip,Transp.,nv,no
ecuador,UTMACH,aviso_privacidad,Notice,si,no
ecuador,UTMACH,marco_normativo,LOPDP,si,no
ecuador,UTMACH,derechos,Rights,si,no
ecuador,UTMACH,contacto_dpo,DPO,si,no
ecuador,UTMACH,declaracion_accesibilidad,Acc.,no,no
ecuador,UTMACH,transparencia_lotaip,Transp.,si,no
ecuador,UTM,aviso_privacidad,Notice,no,no
ecuador,UTM,marco_normativo,LOPDP,no,no
ecuador,UTM,derechos,Rights,no,no
ecuador,UTM,contacto_dpo,DPO,no,no
ecuador,UTM,declaracion_accesibilidad,Acc.,no,no
ecuador,UTM,transparencia_lotaip,Transp.,si,no
ecuador,UTN,aviso_privacidad,Notice,parcial,no
ecuador,UTN,marco_normativo,LOPDP,si,no
ecuador,UTN,derechos,Rights,si,no
ecuador,UTN,contacto_dpo,DPO,no,no
ecuador,UTN,declaracion_accesibilidad,Acc.,no,no
ecuador,UTN,transparencia_lotaip,Transp.,si,no
ecuador,UTEQ,aviso_privacidad,Notice,parcial,no
ecuador,UTEQ,marco_normativo,LOPDP,si,no
ecuador,UTEQ,derechos,Rights,no,no
ecuador,UTEQ,contacto_dpo,DPO,no,no
ecuador,UTEQ,declaracion_accesibilidad,Acc.,no,no
ecuador,UTEQ,transparencia_lotaip,Transp.,si,no
ecuador,UTELVT,aviso_privacidad,Notice,no,no
ecuador,UTELVT,marco_normativo,LOPDP,no,no
ecuador,UTELVT,derechos,Rights,no,no
ecuador,UTELVT,contacto_dpo,DPO,no,no
ecuador,UTELVT,declaracion_accesibilidad,Acc.,no,no
ecuador,UTELVT,transparencia_lotaip,Transp.,si,no
ecuador,UEB,aviso_privacidad,Notice,si,no
ecuador,UEB,marco_normativo,LOPDP,nv,no
ecuador,UEB,derechos,Rights,nv,no
ecuador,UEB,contacto_dpo,DPO,nv,no
ecuador,UEB,declaracion_accesibilidad,Acc.,si,no
ecuador,UEB,transparencia_lotaip,Transp.,si,no
ecuador,UNESUM,aviso_privacidad,Notice,parcial,no
ecuador,UNESUM,marco_normativo,LOPDP,nv,no
ecuador,UNESUM,derechos,Rights,no,no
ecuador,UNESUM,contacto_dpo,DPO,no,no
ecuador,UNESUM,declaracion_accesibilidad,Acc.,no,no
ecuador,UNESUM,transparencia_lotaip,Transp.,si,no
ecuador,UNEMI,aviso_privacidad,Notice,si,no
ecuador,UNEMI,marco_normativo,LOPDP,si,no
ecuador,UNEMI,derechos,Rights,si,no
ecuador,UNEMI,contacto_dpo,DPO,no,no
ecuador,UNEMI,declaracion_accesibilidad,Acc.,no,no
ecuador,UNEMI,transparencia_lotaip,Transp.,si,no
ecuador,UEA,aviso_privacidad,Notice,si,no
ecuador,UEA,marco_normativo,LOPDP,no,no
ecuador,UEA,derechos,Rights,si,no
ecuador,UEA,contacto_dpo,DPO,no,no
ecuador,UEA,declaracion_accesibilidad,Acc.,no,no
ecuador,UEA,transparencia_lotaip,Transp.,si,no
ecuador,UPSE,aviso_privacidad,Notice,parcial,no
ecuador,UPSE,marco_normativo,LOPDP,si,no
ecuador,UPSE,derechos,Rights,si,no
ecuador,UPSE,contacto_dpo,DPO,si,no
ecuador,UPSE,declaracion_accesibilidad,Acc.,parcial,no
ecuador,UPSE,transparencia_lotaip,Transp.,si,no
ecuador,ULEAM,aviso_privacidad,Notice,no,no
ecuador,ULEAM,marco_normativo,LOPDP,no,no
ecuador,ULEAM,derechos,Rights,no,no
ecuador,ULEAM,contacto_dpo,DPO,no,no
ecuador,ULEAM,declaracion_accesibilidad,Acc.,no,no
ecuador,ULEAM,transparencia_lotaip,Transp.,si,no
ecuador,UNACH,aviso_privacidad,Notice,si,no
